tof,sweep
55447231.6,264
55445255.4,265
55447120.9,265
55447166.2,265
55445238.4,266
55447058.2,266
55447106.0,266
55447196.9,266
55447127.8,267
55445206.5,268
55447157.3,268
55447232.9,268
55447242.3,268
55447229.8,269
55445143.5,270
55447130.7,270
55447164.5,270
55447171.9,270
55447174.7,270
55447180.4,270
55447195.5,270
55447346.5,270
55445186.2,272
55445202.0,272
55445160.9,273
55445188.0,273
55447059.9,273
55447114.1,273
55447182.5,273
55447106.7,274
55447144.3,274
55447178.6,274
55447192.8,274
55447323.3,274
55445261.6,275
55445341.4,275
55447155.8,275
55447186.0,275
55445191.6,276
55445248.6,276
55447159.7,276
55447215.2,276
55447225.2,276
55447226.8,276
55445376.3,277
55447164.1,277
55447153.9,278
55447169.6,278
55447180.5,278
55447226.9,278
55445181.0,279
55445231.1,279
55447138.9,279
55447197.6,279
55447132.0,280
55447164.9,280
55447212.2,280
55445179.5,281
55447132.0,281
55447166.4,281
55447190.5,281
55447254.6,281
55447261.3,281
55445239.6,282
55445247.3,282
55447140.7,282
55445148.6,283
55445249.8,283
55447147.6,283
55445174.7,284
55445236.0,284
55447145.1,284
55447164.6,284
55447205.0,284
55447098.1,285
55447238.3,285
55445205.5,286
55445170.6,287
55447187.9,287
55447202.5,287
55447235.0,287
55447146.7,288
55447167.6,288
55447184.4,288
55445234.8,289
55445283.9,289
55447132.2,289
55447153.4,289
55447178.5,289
55447182.3,289
55445207.0,290
55447143.4,290
55447148.7,290
55447176.3,290
55447189.4,290
55447193.4,290
55445212.6,291
55445277.8,291
55447054.7,291
55447177.0,291
55447201.8,291
55447205.0,292
55447242.9,292
55447255.3,292
55447283.2,292
55445249.7,293
55447115.7,293
55447211.5,293
55447120.8,294
55447215.7,294
55445213.8,295
55445272.0,295
55447131.4,295
55447184.4,295
55445146.8,296
55445227.7,296
55447133.8,296
55447184.8,296
55445181.6,297
55445246.2,297
55447104.4,297
55447151.8,297
